easting,northing,TMI,RTP,Residual_TMI,Regional_TMI,VD1,VD2,HoriG,TotG,AnalyticSignal,TiltG,crs,cell_size_m
534034.4306681117,7611908.325619485,53715.53,14285.232990547473,-22.00147103589552,53737.531471035894,-1891.2931229973435,-319.00183454982937,1679.622252707308,2529.4506496246604,2529.4506496246604,-0.8446052445886696,EPSG:25835,12.5
534046.9306681117,7611908.325619485,53715.53,14412.785505448666,-22.06513567703223,53737.59513567703,-1914.4273531359404,-322.922829855662,1701.0288589207403,2560.962957427592,2560.962957427592,-0.8443537098089466,EPSG:25835,12.5
534059.4306681117,7611908.325619485,53715.53,14543.249817304699,-22.112225012024282,53737.64222501202,-1937.3602823640108,-326.9495434502504,1720.7198212046385,2591.1853593998408,2591.1853593998408,-0.8445515204691513,EPSG:25835,12.5
534071.9306681117,7611908.325619485,53746.24,14662.57465311348,8.568984394180006,53737.67101560582,-1958.0422410190133,-330.42615720423254,1740.9840300540588,2620.1058777305225,2620.1058777305225,-0.8440107751415159,EPSG:25835,12.5
534084.4306681117,7611908.325619485,53765.63,14791.090547377753,27.95023606777977,53737.67976393222,-1978.7151037804203,-334.15000675084633,1760.886789370132,2648.7800487973723,2648.7800487973723,-0.843581483572837,EPSG:25835,12.5
534096.9306681117,7611908.325619485,53765.63,14914.27083975118,27.963350921672827,53737.666649078325,-1997.709792678824,-336.83247065618986,1773.52371987882,2671.3724563859823,2671.3724563859823,-0.8447746377526566,EPSG:25835,12.5
534109.4306681117,7611908.325619485,53765.63,15047.095410955111,28.00016452998534,53737.62983547001,-2018.8612918120434,-340.5687754262143,1794.1359310769833,2700.8747943506132,2700.8747943506132,-0.8442667362571391,EPSG:25835,12.5
534121.9306681117,7611908.325619485,53760.48,15178.653688002916,22.912633000785718,53737.56736699922,-2040.6739111614188,-344.3521668801654,1813.3477409087884,2729.9413988497718,2729.9413988497718,-0.8443140459049764,EPSG:25835,12.5
534134.4306681117,7611908.325619485,53760.48,15315.650679344464,23.00261590131413,53737.47738409869,-2061.643852717939,-347.9432140074877,1831.9435890353825,2757.968942692703,2757.968942692703,-0.8443243703908765,EPSG:25835,12.5
534146.9306681117,7611908.325619485,53760.48,15448.877846361234,23.12189698497241,53737.35810301503,-2082.552783227561,-351.5837879005155,1851.558539968637,2786.627912344892,2786.627912344892,-0.844046564082004,EPSG:25835,12.5
534159.4306681117,7611908.325619485,53760.48,15589.326975408669,23.272139244145365,53737.20786075586,-2102.5145045526842,-354.96159265642314,1870.8743185452897,2814.3805637558544,2814.3805637558544,-0.8436301435266719,EPSG:25835,12.5
534171.9306681117,7611908.325619485,53743.3,15726.892840281218,6.274856316791556,53737.02514368321,-2123.2735368495023,-358.56547704134323,1886.5805583858944,2840.3303884522006,2840.3303884522006,-0.8443575779377778,EPSG:25835,12.5
534184.4306681117,7611908.325619485,53743.3,15869.406461717008,6.491399386351986,53736.80860061365,-2142.3309866004524,-361.80064824321585,1907.1796073222504,2868.2601190851433,2868.2601190851433,-0.8434021112037899,EPSG:25835,12.5
534196.9306681117,7611908.325619485,53726.81,16008.367341384497,-9.747118581384711,53736.55711858138,-2162.263090766115,-365.29022127968614,1924.3041108759746,2894.5341567899327,2894.5341567899327,-0.8435620369719248,EPSG:25835,12.5
534209.4306681117,7611908.325619485,53726.81,16150.201861485286,-9.459887904253264,53736.26988790425,-2180.2916677016556,-368.2623570850403,1938.317826613412,2917.318589598436,2917.318589598436,-0.8440820488008416,EPSG:25835,12.5
534221.9306681117,7611908.325619485,53715.5,16290.523280163448,-20.446398264262825,53735.94639826426,-2199.306989244492,-371.64764010211377,1958.531680378908,2944.9613878602045,2944.9613878602045,-0.8432423289704375,EPSG:25835,12.5
534234.4306681117,7611908.325619485,53715.5,16432.284593354092,-20.08642369885638,53735.58642369886,-2216.476217083919,-374.4245752200846,1969.6022151529116,2965.14750169935,2965.14750169935,-0.844304939329923,EPSG:25835,12.5
534246.9306681117,7611908.325619485,53715.5,16569.988724470386,-19.69005345478945,53735.19005345479,-2234.0818453243833,-377.39647089336916,1984.8085643942743,2988.408728554523,2988.408728554523,-0.8444145844007793,EPSG:25835,12.5
534259.4306681117,7611908.325619485,53716.42,16718.28521415678,-18.337774149971665,53734.75777414997,-2251.6259080317727,-380.6093332698337,2007.1622419272983,3016.375224526704,3016.375224526704,-0.8427374072830929,EPSG:25835,12.5
534271.9306681117,7611908.325619485,53716.42,16854.400306256302,-17.87042438599019,53734.29042438599,-2268.567007383542,-382.5566230220956,2010.966987053451,3031.5646933568737,3031.5646933568737,-0.8455190967683032,EPSG:25835,12.5
534284.4306681117,7611908.325619485,53716.42,17023.652112091757,-17.369277651698212,53733.7892776517,-2293.9525664663056,-388.82401915810306,2047.8295928880896,3075.0324256348176,3075.0324256348176,-0.8420246451205732,EPSG:25835,12.5
534296.9306681117,7611908.325619485,53716.42,17174.024645452202,-16.835984608143917,53733.25598460814,-2311.1763056467635,-391.55246044316254,2061.131909240669,3096.7403286477065,3096.7403286477065,-0.8425241317923574,EPSG:25835,12.5
534309.4306681117,7611908.325619485,53729.38,17325.6624842653,-3.3126448944676667,53732.692644894465,-2324.9524142738746,-393.87455127843606,2074.592479215331,3115.9810146171835,3115.9810146171835,-0.8422427279923617,EPSG:25835,12.5
534321.9306681117,7611908.325619485,53729.38,17469.04208419731,-2.7217691891055438,53732.1017691891,-2339.6090484169135,-396.5713804539741,2086.8338543667815,3135.0671500249578,3135.0671500249578,-0.8424419260850874,EPSG:25835,12.5
534334.4306681117,7611908.325619485,53763.05,17615.404225006227,31.56373847793293,53731.48626152207,-2350.906119613632,-398.5297480632698,2099.203924923401,3151.732333439919,3151.732333439919,-0.8418988558475782,EPSG:25835,12.5
534346.9306681117,7611908.325619485,53763.05,17761.00616024766,32.2006180567696,53730.84938194323,-2363.7699640031387,-400.8991036832389,2110.770498019476,3169.0314826509352,3169.0314826509352,-0.8418800236497971,EPSG:25835,12.5
534359.4306681117,7611908.325619485,53763.05,17917.10040643684,32.85527559569891,53730.194724404304,-2375.225784677701,-402.97289628906236,2122.112449152705,3185.1308882127105,3185.1308882127105,-0.8416195508511763,EPSG:25835,12.5
534371.9306681117,7611908.325619485,53763.05,18062.253207441045,33.52378267690074,53729.5262173231,-2386.8021844578802,-405.18235099078646,2132.7997169932396,3200.88414356711,3200.88414356711,-0.8415392925680493,EPSG:25835,12.5
